time [s],adc_buf[0],
3.49158,2040,
3.49359,2047,
3.49548,2042,
3.49823,2039,
3.50016,2040,
3.50216,2035,
3.50416,2033,
3.50617,2043,
3.50817,2040,
3.51016,2037,
3.51217,2053,
3.51383,2038,
3.51559,2044,
3.51758,2042,
3.51958,2037,
3.52158,2040,
3.52358,2038,
3.52558,2040,
3.52758,2040,
3.52959,2043,
3.53117,2038,
3.53316,2043,
3.53516,2045,
3.53716,2041,
3.53917,2039,
3.54117,2041,
3.54316,2042,
3.54516,2038,
3.54717,2044,
3.54916,2041,
3.55116,2037,
3.55316,2040,
3.55516,2046,
3.55717,2037,
3.55916,2039,
3.56119,2041,
3.56319,2042,
3.56517,2039,
3.56659,2043,
3.56858,2043,
3.57058,2035,
3.5726,2042,
3.57459,2035,
3.57664,2038,
3.57859,2039,
3.58018,2041,
3.58216,2040,
3.58416,2043,
3.58617,2039,
3.58817,2054,
3.59016,2041,
3.59216,2042,
3.59418,2041,
3.59564,2039,
3.59718,2046,
3.5986,2041,
3.60058,2039,
3.60258,2036,
3.6046,2032,
3.60659,2036,
3.60861,2039,
3.61058,2038,
3.61258,2035,
3.61458,2043,
3.61658,2038,
3.61858,2044,
3.62061,2036,
3.62219,2038,
3.62422,2034,
3.62658,2043,
3.62858,2040,
3.63059,2041,
3.63258,2039,
3.63461,2039,
3.63658,2039,
3.6386,2043,
3.64059,2037,
3.64258,2046,
3.64416,2040,
3.6462,2039,
3.64816,2046,
3.64983,2039,
3.65159,2039,
3.65317,2041,
3.65517,2039,
3.6566,2039,
3.65859,2037,
3.66059,2037,
3.66258,2042,
3.66464,2043,
3.66658,2044,
3.66858,2042,
3.67058,2030,
3.6726,2038,
3.6746,2041,
3.67624,2041,
3.67759,2044,
3.67958,2038,
3.68163,2034,
3.68358,2044,
3.68558,2043,
3.68761,2043,
3.68953,2039,
3.69165,2034,
3.69359,2043,
3.6956,2039,
3.69758,2040,
3.69958,2035,
3.70159,2042,
3.70358,2039,
3.70559,2040,
3.70763,2041,
3.70959,2042,
3.71158,2034,
3.71358,2038,
3.71559,2033,
3.71759,2046,
3.71918,2043,
3.72117,2042,
3.72322,2045,
3.72522,2040,
3.72719,2043,
3.72917,2039,
3.73116,2040,
3.7329,2041,
3.73458,2034,
3.73658,2045,
3.73858,2035,
3.74059,2043,
3.74259,2038,
3.74458,2041,
3.7466,2038,
3.7486,2041,
3.75017,2040,
3.75183,2035,
3.75359,2044,
3.75559,2044,
3.75759,2043,
3.75961,2039,
3.7616,2038,
3.76362,2037,
3.7656,2039,
3.76758,2041,
3.76959,2041,
3.77158,2036,
3.7736,2040,
3.7756,2037,
3.77759,2038,
3.7796,2041,
3.78158,2038,
3.7831,2034,
3.78517,2040,
3.78716,2042,
3.78917,2036,
3.79117,2038,
3.79317,2036,
3.79517,2042,
3.79721,2039,
3.79919,2044,
3.80117,2037,
3.80258,2039,
3.8046,2039,
3.8066,2040,
3.80858,2040,
3.81059,2040,
3.8126,2043,
3.81458,2038,
3.81659,2035,
3.81858,2040,
3.82059,2042,
3.8226,2043,
3.82459,2037,
3.82617,2037,
3.82957,2043,
3.83117,2045,
3.83317,2047,
3.83516,2042,
3.83717,2045,
3.83918,2040,
3.84094,2038,
3.84317,2042,
3.84517,2035,
3.84716,2038,
3.84917,2041,
3.85116,2030,
3.85317,2036,
3.85483,2036,
3.85659,2034,
3.8586,2039,
3.86059,2036,
3.86259,2043,
3.8642,2042,
3.86618,2043,
3.86816,2037,
3.87028,2037,
3.87218,2041,
3.87417,2044,
3.87618,2046,
3.87816,2047,
3.88017,2039,
3.88217,2036,
3.88417,2041,
3.88618,2038,
3.88816,2038,
3.89018,2036,
3.89217,2041,
3.89418,2036,
3.89617,2038,
3.8982,2036,
3.89959,2040,
3.90159,2040,
3.9036,2043,
3.90519,2041,
3.9066,2038,
3.90864,2041,
