time [s],filter_volt,
13.1885,1.37128,
13.1905,1.36959,
13.1925,1.36888,
13.1945,1.37205,
13.1965,1.37093,
13.1985,1.37537,
13.2005,1.37368,
13.2025,1.37458,
13.2045,1.37335,
13.2065,1.36834,
13.2085,1.37035,
13.2105,1.36861,
13.2125,1.37311,
13.2145,1.37444,
13.2165,1.374,
13.2182,1.37562,
13.2205,1.37186,
13.2225,1.37291,
13.2245,1.37178,
13.2265,1.37454,
13.2285,1.37575,
13.2305,1.37545,
13.2325,1.37637,
13.2345,1.37484,
13.2369,1.37027,
13.2389,1.37347,
13.2409,1.3716,
13.2429,1.37428,
13.2449,1.37442,
13.2469,1.37263,
13.2489,1.3741,
13.2509,1.37108,
13.2523,1.37285,
13.2545,1.36956,
13.2565,1.3738,
13.2585,1.37349,
13.2605,1.37345,
13.2625,1.37541,
13.2642,1.37328,
13.2659,1.37479,
13.2679,1.37072,
13.2695,1.37289,
13.2715,1.37213,
13.2735,1.37537,
13.2755,1.37641,
13.2769,1.37678,
13.2789,1.37394,
13.2805,1.37163,
13.2819,1.37255,
13.2835,1.37171,
13.2855,1.37279,
13.2875,1.37467,
13.2895,1.37489,
13.2916,1.37359,
13.2939,1.3732,
13.2959,1.37367,
13.2978,1.37082,
13.2992,1.37382,
13.3005,1.3836,
13.3026,1.4112,
13.3043,1.43645,
13.3059,1.45172,
13.3075,1.46491,
13.3095,1.47882,
13.3115,1.49053,
13.3133,1.50232,
13.3149,1.50828,
13.3169,1.5163,
13.3189,1.52067,
13.3209,1.52819,
13.3229,1.52906,
13.3249,1.532,
13.3269,1.53005,
13.3289,1.52781,
13.3309,1.52825,
13.3329,1.52859,
13.3349,1.53083,
13.3369,1.52551,
13.3389,1.52583,
13.3409,1.52354,
13.3429,1.52681,
13.3449,1.52135,
13.3469,1.51916,
13.3489,1.51887,
13.3509,1.52114,
13.3529,1.51395,
13.3549,1.51367,
13.3565,1.51234,
13.3585,1.51011,
13.3605,1.50693,
13.3625,1.50752,
13.3645,1.49555,
13.3665,1.49126,
13.3685,1.48537,
13.3705,1.48001,
13.3725,1.47805,
13.3745,1.47305,
13.3765,1.47018,
13.3782,1.46456,
13.3805,1.46079,
13.3822,1.45699,
13.3839,1.45552,
13.3859,1.45211,
13.3879,1.44783,
13.3895,1.44374,
13.3912,1.44244,
13.3929,1.44135,
13.3945,1.4375,
13.3965,1.43774,
13.3985,1.43037,
13.4005,1.42805,
13.4025,1.42078,
13.4045,1.42053,
13.4065,1.41725,
13.4085,1.41542,
13.4105,1.41228,
13.4126,1.4099,
13.4149,1.40778,
13.4165,1.40387,
13.4185,1.4043,
13.4205,1.40557,
13.4225,1.40066,
13.4245,1.40287,
13.4265,1.39945,
13.4285,1.40197,
13.4305,1.39841,
13.4325,1.40001,
13.4345,1.39143,
13.4365,1.3924,
13.4385,1.3863,
13.4405,1.38644,
13.4425,1.38422,
13.4445,1.38482,
13.4461,1.37927,
13.4479,1.38111,
13.4499,1.37846,
13.4519,1.3789,
13.4539,1.37924,
13.4559,1.3794,
13.4579,1.37798,
13.4599,1.37892,
13.4619,1.37805,
13.4639,1.37992,
13.4659,1.37888,
13.4679,1.38207,
13.4705,1.3775,
13.4725,1.38066,
13.4745,1.37917,
13.4765,1.38054,
13.4781,1.37582,
13.4799,1.37923,
13.4819,1.37096,
13.4839,1.37283,
13.4859,1.36774,
13.4875,1.36829,
13.4895,1.36823,
13.4919,1.36963,
13.4939,1.36805,
13.4959,1.36855,
13.4979,1.36732,
13.4999,1.3668,
13.5019,1.36893,
13.5039,1.37021,
13.5059,1.36882,
13.5079,1.36967,
13.5099,1.37073,
13.5119,1.37161,
13.5139,1.37216,
13.5159,1.37461,
13.5179,1.37143,
13.5199,1.37516,
13.5219,1.37357,
13.5239,1.37587,
13.5265,1.3729,
13.5282,1.37314,
13.5305,1.37157,
13.5325,1.37012,
13.5345,1.36944,
13.5375,1.36754,
13.5395,1.37087,
13.5415,1.36529,
13.5435,1.36696,
13.5455,1.36339,
13.5475,1.36449,
13.5495,1.3665,
13.5515,1.36734,
13.5539,1.36643,
13.5559,1.3656,
13.5579,1.36652,
13.5599,1.36563,
13.5619,1.3672,
13.5639,1.3687,
13.5659,1.36999,
13.5679,1.37129,
13.5699,1.37237,
13.5719,1.37427,
13.5739,1.37538,
13.5759,1.37529,
13.5779,1.37383,
13.5799,1.37231,
13.5819,1.37286,
13.5839,1.37221,
13.5859,1.3693,
13.5879,1.36837,
13.5899,1.36637,
13.5919,1.36352,
13.5939,1.36384,
13.5959,1.36358,
13.5979,1.36427,
13.5995,1.36648,
13.6015,1.36509,
13.6035,1.36449,
13.6055,1.36486,
13.6075,1.36418,
13.6095,1.36627,
13.6115,1.36624,
13.6135,1.36519,
13.6155,1.36568,
13.6175,1.36799,
13.6195,1.36866,
13.6215,1.3707,
13.6235,1.37166,
13.6255,1.37121,
13.6275,1.37283,
13.6295,1.37351,
13.6316,1.37244,
13.6335,1.37289,
13.6353,1.37084,
13.6375,1.36944,
13.6395,1.36685,
13.6415,1.36704,
13.6435,1.36598,
13.6455,1.36577,
13.6475,1.36495,
13.6495,1.36409,
13.6515,1.3617,
13.6539,1.3639,
13.6559,1.36534,
13.6579,1.36559,
13.6599,1.365,
13.6619,1.36594,
13.6639,1.36576,
13.6659,1.36718,
13.6679,1.36979,
13.6699,1.37402,
13.6719,1.37044,
13.6739,1.37409,
13.6758,1.37302,
13.6779,1.37456,
13.6799,1.373,
13.6819,1.37474,
13.6839,1.36927,
13.6861,1.37044,
13.6879,1.36744,
13.6899,1.37009,
13.6919,1.36529,
13.6939,1.36891,
13.6959,1.36402,
13.6979,1.36535,
13.6999,1.36505,
13.702,1.36746,
13.7039,1.36859,
13.7059,1.36922,
13.7079,1.36806,
13.7099,1.36821,
13.7119,1.36891,
13.7139,1.36821,
13.7155,1.368,
13.7175,1.37039,
13.7189,1.36877,
13.7209,1.37062,
13.7229,1.36966,
13.7249,1.37277,
13.7269,1.37034,
13.7289,1.37334,
13.7308,1.36783,
13.7325,1.37064,
13.7345,1.3705,
13.7365,1.37091,
13.7385,1.36967,
13.7405,1.36908,
13.7425,1.36654,
13.7445,1.36523,
13.7465,1.36415,
13.7482,1.36424,
13.7499,1.36606,
13.7519,1.36567,
13.7539,1.36676,
13.7559,1.36592,
13.7579,1.36539,
13.7595,1.36428,
13.7615,1.36432,
13.7635,1.36636,
13.7655,1.36852,
13.7679,1.36778,
13.7699,1.36994,
13.7719,1.37085,
13.7739,1.37086,
13.7759,1.37195,
13.7779,1.37271,
