time [s],filter_volt,voltage,
12.9348,1.37103,1.2367,
12.9369,1.37078,1.27962,
12.9389,1.37105,1.18942,
12.9409,1.37411,1.27017,
12.9429,1.37258,1.23379,
12.9449,1.3752,1.2738,
12.9469,1.37451,1.35819,
12.9485,1.37407,1.16905,
12.9505,1.37328,1.27817,
12.9525,1.37209,1.32618,
12.9545,1.37512,1.32982,
12.9565,1.3753,1.30218,
12.9585,1.37948,1.27744,
12.9605,1.37951,1.28399,
12.9625,1.37628,1.15595,
12.9645,1.37514,1.19015,
12.9665,1.36969,1.07084,
12.9686,1.37275,1.28399,
12.9709,1.37463,1.31745,
12.9725,1.37471,1.28253,
12.9745,1.37582,1.34219,
12.9765,1.37379,1.15668,
12.9785,1.37345,1.48841,
12.9805,1.37171,1.2658,
12.9825,1.37273,1.51314,
12.9845,1.37218,1.32327,
12.9865,1.3718,1.16177,
12.9885,1.37503,1.2869,
12.9905,1.37534,1.27526,
12.9925,1.3751,1.29272,
12.9945,1.37194,1.28181,
12.9965,1.36725,1.08466,
12.9985,1.37038,1.32982,
12.9999,1.37108,1.46367,
13.0025,1.37767,1.31964,
13.0045,1.37524,1.25998,
13.0065,1.37391,1.21779,
13.0085,1.37332,1.16687,
13.0105,1.37054,1.1836,
13.0125,1.37019,1.22579,
13.0145,1.36804,1.52187,
13.0165,1.36903,1.51969,
13.0181,1.37185,1.51387,
13.0199,1.37361,1.30145,
13.0219,1.37543,1.21415,
13.0239,1.37078,1.10212,
13.0259,1.37106,1.2658,
13.0275,1.36625,1.5386,
13.0295,1.36918,1.53642,
13.0315,1.37083,1.54079,
13.0335,1.37182,1.4353,
13.0349,1.3733,1.55097,
13.0369,1.37239,1.2578,
13.0389,1.37345,1.17196,
13.0409,1.3706,1.18651,
13.0429,1.37395,1.30945,
13.0449,1.37211,1.24034,
13.0469,1.3724,1.25198,
13.0489,1.37562,1.31236,
13.0509,1.3764,1.20033,
13.0529,1.37731,1.25344,
13.0549,1.37222,1.20397,
13.0569,1.36876,1.27017,
13.0589,1.37189,1.30581,
13.0609,1.37366,1.21051,
13.0629,1.37768,1.27817,
13.0649,1.37671,1.23016,
13.0669,1.37732,1.26289,
13.0689,1.37562,1.2789,
13.0709,1.37118,1.13413,
13.0729,1.37565,1.27744,
13.0749,1.3734,1.19596,
