time [s],adc_buf[0],
13.7739,1727,
13.7759,1716,
13.7779,1867,
13.7799,1638,
13.7813,1767,
13.7835,1556,
13.7855,2137,
13.7875,1977,
13.7895,1909,
13.7915,1927,
13.7935,2080,
13.7955,1971,
13.7975,2099,
13.7995,2060,
13.8015,2122,
13.8029,2059,
13.8049,1672,
13.8069,1531,
13.8089,1580,
14.0835,1692,
14.0853,2104,
14.0875,1709,
14.0895,2102,
14.0912,2049,
14.0929,1735,
14.0949,2058,
14.0969,2108,
14.0989,2162,
14.1009,2078,
14.1029,2061,
14.1049,2154,
14.1069,2072,
14.1089,2144,
14.1109,2144,
14.1129,2159,
14.1149,2062,
14.1169,2141,
14.1189,2177,
14.1209,2111,
14.1229,2190,
14.1249,2070,
14.1265,2072,
14.1285,2133,
14.1305,2096,
14.1319,2093,
14.1339,2139,
14.1359,1889,
14.1379,2092,
14.1399,1945,
14.1419,1722,
14.1439,1636,
14.1459,2104,
14.1479,2003,
14.1499,2095,
14.1519,2068,
14.1539,2063,
14.1559,2115,
14.1579,2129,
14.1599,1647,
14.1619,2115,
14.1639,2122,
14.1659,2091,
14.1679,2105,
14.1695,2155,
14.1715,1939,
14.1735,2135,
14.1755,1980,
14.1769,2422,
14.1789,2559,
14.181,2677,
14.1829,2379,
14.1848,2649,
14.1869,2056,
14.1889,2467,
14.1909,2449,
14.1929,2415,
14.1949,2390,
14.1969,2386,
14.1989,2362,
14.2009,2397,
14.2029,2357,
14.2049,2339,
14.2069,2302,
14.2089,2158,
14.2109,2169,
14.2129,2143,
14.2149,2301,
14.2165,2305,
14.2185,2295,
14.2205,2301,
14.2225,2136,
14.2245,2223,
14.2265,2067,
14.2285,2269,
14.2305,2271,
14.2325,2368,
14.2346,2257,
14.2369,1787,
14.2389,2119,
14.2409,2171,
14.243,2177,
14.2449,2059,
14.2469,2188,
14.2485,1978,
14.2499,2127,
14.2525,1700,
14.2545,2098,
14.2565,2249,
14.2585,2170,
14.2606,2201,
14.2625,2186,
14.2645,1674,
14.2665,2185,
14.2685,1994,
14.2705,2206,
14.2725,2138,
14.2745,2127,
14.2765,2155,
14.2785,2062,
14.2805,2151,
14.2826,1893,
14.2849,1664,
14.2869,2064,
14.2889,2117,
14.2909,2170,
14.2929,2073,
14.2949,2076,
14.2969,2051,
14.2989,2187,
14.3009,2135,
14.3029,1704,
14.3049,2149,
14.3069,2032,
14.3089,2104,
14.3109,1833,
14.3129,2083,
14.3149,2088,
14.3169,2104,
14.3184,2136,
14.3205,1865,
14.3225,2136,
14.3245,2065,
14.3265,2169,
14.3285,2086,
14.3305,2026,
14.332,1647,
14.3339,2094,
14.3359,1697,
14.3379,2132,
14.3399,1953,
14.3419,1933,
14.3439,2075,
14.3459,2099,
14.348,2160,
14.3499,2030,
14.3519,1682,
14.3539,2005,
14.3559,2217,
14.3579,2118,
14.3599,2117,
14.3619,2125,
14.364,2035,
14.3654,2106,
14.3675,2055,
14.3695,1693,
14.3715,2054,
14.3735,1753,
14.3755,2061,
14.3775,1821,
14.3795,2129,
14.3816,2066,
14.3835,1720,
14.3855,2077,
14.3875,1670,
14.3895,2022,
14.3915,2112,
14.3935,2086,
14.3955,2064,
14.3975,1742,
14.3995,2075,
14.4015,1884,
14.4035,1597,
14.4055,2072,
14.4075,2073,
14.4095,2120,
14.4115,1955,
14.4135,1636,
14.4155,2022,
14.4175,2088,
14.4195,1710,
14.4215,1996,
14.4235,2020,
14.4255,1998,
14.4275,2219,
14.4295,2114,
14.4316,2114,
14.4335,1708,
14.4355,2029,
14.4375,1758,
14.4395,1896,
14.4415,2082,
14.4435,2050,
